epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1251.63,1.39313,3.72971,1.57905,0.49163,0.4639,0.46067,0.26074,1.31113,5.68098,1.42574,0.000476038,0.000476038,0.000476038
2,2479.65,1.45622,2.75577,1.62106,0.613,0.47103,0.55283,0.31744,1.25263,3.26995,1.48699,0.000920943,0.000920943,0.000920943
3,3705.14,1.46893,2.40517,1.61798,0.53527,0.59433,0.57367,0.34783,1.23008,3.02953,1.44881,0.00133441,0.00133441,0.00133441
4,4962.82,1.4409,2.16541,1.59146,0.60821,0.6321,0.65213,0.39989,1.16562,2.27605,1.39634,0.00128753,0.00128753,0.00128753
5,6241.43,1.37311,1.99901,1.54447,0.63439,0.5811,0.65214,0.4177,1.12703,2.01075,1.35732,0.00124037,0.00124037,0.00124037
6,7628.22,1.32235,1.8449,1.50534,0.77399,0.67019,0.76558,0.50394,1.09129,1.95145,1.31286,0.00119322,0.00119322,0.00119322
7,9503.34,1.26764,1.73996,1.46809,0.80423,0.72361,0.82645,0.56755,1.04824,1.80286,1.24878,0.00114606,0.00114606,0.00114606
8,13056.7,1.24547,1.60636,1.4454,0.8035,0.74563,0.83223,0.56945,1.03629,1.62467,1.24493,0.0010989,0.0010989,0.0010989
9,18189.6,1.20001,1.54643,1.41579,0.7999,0.76535,0.82562,0.57065,1.05052,1.38806,1.25074,0.00105174,0.00105174,0.00105174
10,21220.2,1.19529,1.4998,1.41046,0.84924,0.7596,0.84007,0.58389,1.00388,1.54391,1.23593,0.00100459,0.00100459,0.00100459
11,26183.9,1.1573,1.40889,1.38175,0.88948,0.80176,0.87914,0.62593,0.93689,1.34208,1.19008,0.00095743,0.00095743,0.00095743
12,31026.5,1.12979,1.33595,1.36718,0.89161,0.84068,0.89555,0.65622,0.92405,1.23093,1.1642,0.000910273,0.000910273,0.000910273
13,35788.4,1.1137,1.30654,1.34957,0.92427,0.81588,0.89389,0.65472,0.92402,1.35463,1.1427,0.000863116,0.000863116,0.000863116
14,39105.5,1.10652,1.26133,1.33558,0.87267,0.86937,0.90529,0.65838,0.93844,1.24434,1.16915,0.000815959,0.000815959,0.000815959
15,40383.5,1.08994,1.21348,1.32338,0.8801,0.83586,0.90099,0.63752,0.99773,1.12724,1.18312,0.000768802,0.000768802,0.000768802
16,41660.5,1.06837,1.16974,1.31795,0.89613,0.89581,0.92137,0.68332,0.94906,1.06822,1.15362,0.000721645,0.000721645,0.000721645
17,43034.9,1.04064,1.1274,1.29896,0.9353,0.83832,0.92493,0.69274,0.91875,1.06116,1.12453,0.000674488,0.000674488,0.000674488
18,44451.7,1.0301,1.10676,1.29096,0.89778,0.89169,0.92992,0.70212,0.87004,0.93082,1.11901,0.000627331,0.000627331,0.000627331
19,45873.5,1.00359,1.07217,1.2738,0.89793,0.89869,0.92454,0.70006,0.93136,0.99498,1.14773,0.000580174,0.000580174,0.000580174
20,47290.5,0.99889,1.02635,1.2601,0.91104,0.88824,0.93451,0.71439,0.87775,0.96197,1.10503,0.000533017,0.000533017,0.000533017
21,48710.4,0.85173,0.72309,1.17932,0.93098,0.86262,0.93991,0.71174,0.86866,0.92639,1.09809,0.00048586,0.00048586,0.00048586
22,50116.9,0.81725,0.68109,1.13989,0.93806,0.87297,0.93971,0.70503,0.88874,0.94077,1.10652,0.000438703,0.000438703,0.000438703
23,51527.6,0.78997,0.61727,1.13193,0.92075,0.89223,0.94263,0.73042,0.85934,0.84439,1.10712,0.000391546,0.000391546,0.000391546
24,52940.7,0.77203,0.57752,1.11447,0.91465,0.9151,0.93857,0.73065,0.86223,0.88819,1.09227,0.000344389,0.000344389,0.000344389
25,54334.4,0.74703,0.56618,1.08556,0.94111,0.89643,0.93532,0.72646,0.84974,0.78729,1.06544,0.000297232,0.000297232,0.000297232
26,55745.7,0.72521,0.52547,1.06972,0.9364,0.91401,0.94531,0.74086,0.87747,0.84324,1.07979,0.000250075,0.000250075,0.000250075
27,57146.4,0.71574,0.51993,1.06742,0.96041,0.90592,0.94731,0.73744,0.85753,0.75508,1.08661,0.000202918,0.000202918,0.000202918
28,58562.6,0.68968,0.48731,1.05338,0.95557,0.91522,0.94496,0.73787,0.84094,0.88279,1.07627,0.000155761,0.000155761,0.000155761
29,59965.2,0.67441,0.47307,1.05251,0.94706,0.90907,0.94606,0.74303,0.83496,0.7752,1.05963,0.000108604,0.000108604,0.000108604
30,61375,0.6643,0.45457,1.04096,0.94661,0.91476,0.94854,0.74175,0.84095,0.85309,1.06516,6.1447e-05,6.1447e-05,6.1447e-05
